trading_session_uuid,is_simulated,market_number,trading_day,event_seq,event_ts,record_kind,event_type,side,aggressor_side,order_id,trader_uuid,price,size,size_delta,size_resting_after,queue_position,queue_size,status_after,match_id,contra_order_id,bid_order_id,ask_order_id,bid_trader_uuid,ask_trader_uuid,source_created_ts
4a4690f6-87af-4856-b251-13d150127d1c,True,1,1,1,2026-03-12T16:52:44.028543+00:00,order,add,bid,,85e18435-47ec-4bdb-8770-61345e9f3bee,5600987f-39fa-4bfc-a455-40780271025a,120.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773334364.031129
4a4690f6-87af-4856-b251-13d150127d1c,True,1,1,2,2026-03-12T16:52:44.034133+00:00,trade,trade,ask,S,,,120.0,1.0,,,,,,b77cf729-d48e-42cd-89fd-af89b47cfe38,,85e18435-47ec-4bdb-8770-61345e9f3bee,c6604158-f432-46cc-a039-073c60e95884,5600987f-39fa-4bfc-a455-40780271025a,6088da31-e091-472c-926b-e3c84e601010,1773334364.035924
4a4690f6-87af-4856-b251-13d150127d1c,True,1,1,3,2026-03-12T16:52:44.036728+00:00,order,fill,ask,,c6604158-f432-46cc-a039-073c60e95884,6088da31-e091-472c-926b-e3c84e601010,120.0,1.0,-1.0,0.0,,,executed,b77cf729-d48e-42cd-89fd-af89b47cfe38,85e18435-47ec-4bdb-8770-61345e9f3bee,,,,,1773334364.038665
4a4690f6-87af-4856-b251-13d150127d1c,True,1,1,4,2026-03-12T16:52:44.039631+00:00,order,fill,bid,,85e18435-47ec-4bdb-8770-61345e9f3bee,5600987f-39fa-4bfc-a455-40780271025a,120.0,1.0,-1.0,0.0,,,executed,b77cf729-d48e-42cd-89fd-af89b47cfe38,c6604158-f432-46cc-a039-073c60e95884,,,,,1773334364.041257
4a4690f6-87af-4856-b251-13d150127d1c,True,1,1,5,2026-03-12T16:52:44.048275+00:00,order,add,bid,,01862a48-4508-4eda-9c11-91fc841eb83e,5600987f-39fa-4bfc-a455-40780271025a,115.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773334364.050599
4a4690f6-87af-4856-b251-13d150127d1c,True,1,1,6,2026-03-12T16:52:44.052929+00:00,order,add,ask,,d3a3566e-8474-403f-9fa3-967b787c565e,6088da31-e091-472c-926b-e3c84e601010,125.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773334364.05485
6ae7a52f-0a03-417f-8e1c-7bafdfde317e,True,2,1,1,2026-03-12T16:52:45.001882+00:00,order,add,bid,,f7b69b65-d448-453a-bd6f-e19d81d0a54a,b3d16a86-7bb4-4cdd-97a8-2c39a137d86e,120.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773334365.003984
6ae7a52f-0a03-417f-8e1c-7bafdfde317e,True,2,1,2,2026-03-12T16:52:45.006779+00:00,trade,trade,ask,S,,,120.0,1.0,,,,,,55d68dd0-6421-4564-ab3f-e467281ce7b3,,f7b69b65-d448-453a-bd6f-e19d81d0a54a,e16d842a-19b8-4f04-8968-8911c44058fb,b3d16a86-7bb4-4cdd-97a8-2c39a137d86e,1f0c6b03-c37e-4f91-b45f-1eed95c57ae9,1773334365.008434
6ae7a52f-0a03-417f-8e1c-7bafdfde317e,True,2,1,3,2026-03-12T16:52:45.009129+00:00,order,fill,ask,,e16d842a-19b8-4f04-8968-8911c44058fb,1f0c6b03-c37e-4f91-b45f-1eed95c57ae9,120.0,1.0,-1.0,0.0,,,executed,55d68dd0-6421-4564-ab3f-e467281ce7b3,f7b69b65-d448-453a-bd6f-e19d81d0a54a,,,,,1773334365.01104
6ae7a52f-0a03-417f-8e1c-7bafdfde317e,True,2,1,4,2026-03-12T16:52:45.012240+00:00,order,fill,bid,,f7b69b65-d448-453a-bd6f-e19d81d0a54a,b3d16a86-7bb4-4cdd-97a8-2c39a137d86e,120.0,1.0,-1.0,0.0,,,executed,55d68dd0-6421-4564-ab3f-e467281ce7b3,e16d842a-19b8-4f04-8968-8911c44058fb,,,,,1773334365.014422
6ae7a52f-0a03-417f-8e1c-7bafdfde317e,True,2,1,5,2026-03-12T16:52:45.070906+00:00,order,add,bid,,f9338adc-dd15-4c4a-850c-c4f61ee9482e,b3d16a86-7bb4-4cdd-97a8-2c39a137d86e,115.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773334365.072698
6ae7a52f-0a03-417f-8e1c-7bafdfde317e,True,2,1,6,2026-03-12T16:52:45.074891+00:00,order,add,ask,,a1543526-9f3b-4aab-9378-1c2724efa9fc,1f0c6b03-c37e-4f91-b45f-1eed95c57ae9,125.0,1.0,1.0,1.0,1,1.0,active,,,,,,,1773334365.076588
